"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
"           1","        1100","4613.1563229","       39025","HomeImp","Other","2.3216972048","           0","           0","94.366666667","           1","           9","           ."
"           1","162.06479066"," 54374.03044","       68400","HomeImp","Other","           7","           0","           2","121.83333333","           0","          14","           ."
"           1","        1500","       13500","       16700","HomeImp","Other","           4","           0","           0","149.46666667","           1","          10","           ."
"           1","        1500","           .","           .","","","           .","           .","           .","           .","           .","           .","           ."
"           0","        1700","       97800"," 68863.68371","HomeImp","Office","           3","           0","           0","93.333333333","           0","          14","           ."
"           0","        1700","16473.682987","21297.893542","HomeImp","Other","           9","           0","           0","101.46600191","           1","           8","37.113613558"
"           1","1047.0006541","       48649","       57037","HomeImp","Other","3.7555630779","           3","           2","        77.1","           1","          17","           ."
"           1","        1800","       28502","29149.344452","HomeImp","Other","          11","           0","           0","88.766029879","           0","           8","36.884894093"
"           1","        2000","       32700","       46740","HomeImp","Other","2.3366121665","           0","           2","216.93333333","           1","          12","           ."
"           1","        2000","           .","4491.1437733","HomeImp","Sales","3.7429308387","           0","           0","       115.8","           0","          13","           ."
"           1","        2000","19378.397699","           .","","","          18","           .","           .","           .","           .","           .","           ."
"           0","        2000","12940.385392","       29800","HomeImp","Office","          11","           0","           1","122.53333333","           1","           9","           ."
"           0","        2000","8993.7551594","12285.336087","HomeImp","Other","           3","           0","           0","86.066666667","           2","          25","           ."
"           0","45.805413297","       64536","       87400","","Mgr","0.8562451326","           0","           0","147.13333333","           0","          24","           ."
"           1","1581.4960782","       71000","       83850","HomeImp","Other","2.3090927425","           0","           1","         123","           0","          16","           ."
"           1","        2200","       24280","21203.204433","HomeImp","Other","           .","           0","           1","300.86666667","           0","           8","           ."
"           1","        2200","       90957","      102600","HomeImp","Mgr","           7","           2","           6","       122.9","           1","          22","           ."
"           1","1844.4364487","191.05116041","           .","","","          19","           .","           .","           .","           .","           .","3.7113122995"
"           1","        2300","       28192","3326.2140228","HomeImp","Other","0.5793729201","           0","           0","        54.6","           1","          16","           ."
"           0","        2300","      102370","      120953","HomeImp","Office","           2","           0","           0","90.992533467","           0","          13","31.588503178"
"           1","        2300","       37626","10766.263218","HomeImp","Other","           3","           0","           1","122.26666667","           1","          14","           ."
"           1","        2400","       50000","       73395","HomeImp","ProfExe","1.9503899859","           1","           0","           .","           1","           0","           ."
"           1","1559.2303987","       28000","       40800","HomeImp","Mgr","9.5563326895","           0","           0","        67.2","           2","          22","           ."
"           0","        2400","7768.0722828","           .","HomeImp","Mgr","10.121611809","           .","           2","121.73333333","           0","          10","           ."
"           1","        2400","           .","       17180","HomeImp","Other","           .","           0","           0","14.566666667","           3","           4","           ."
"           1","        2400","       34863","       47471","HomeImp","Mgr","          12","           0","           0","70.491080032","           1","          21","38.263600731"
"           0","1995.3583168","43146.057525","      117195","HomeImp","Office","3.8431846219","           0","           0","93.811774855","           0","          13","29.681827045"
"           0","        2500","       15000","       20200","HomeImp","","          18","           0","           0","136.06666667","           1","          19","           ."
"           1","        2500","       25116","23585.591397","HomeImp","Other","          10","           1","           2","276.96666667","           0","           9","           ."
"           0","        2500","6377.7671713","       44516","HomeImp","Self","           .","           0","           0","         208","           0","          12","           ."
"           0","547.52550463","       71408"," 23159.00798","HomeImp","ProfExe","           8","           0","           0","255.73333333","           0","          12","           ."
"           1","        2800","       50795","       63100","HomeImp","Self","          26","           2","          15","145.63333333","           3","          45","           ."
"           0","        2800","        4000"," 43832.33069","HomeImp","Other","15.977682449","           4","           0","112.63333333","           2","           9","           ."
"           1","        2900","       78600","      113000","DebtCon","ProfExe","           6","           1","           0","165.33333333","           2","          26","           ."
"           0","2218.0873421","      103949","      112505","HomeImp","Office","0.4774160769","           0","           0"," 96.10232967","           0","          13","30.051136286"
"           0","        2900","97134.775168","      120702","HomeImp","Office","1.5734184094","           0","           0","101.54029753","           0","          13","29.915859028"
"           1","        2900","        7750","       67996","HomeImp","Other","7.7118100485","           3","           0","122.20466276","           2","           8","36.211347998"
"           1","        2900","54985.594831","54709.686088","DebtCon","Mgr","1.1143074199","           0","           0","282.80165924","           3","          37"," 49.20639579"
"           0","        3000","      104570","54856.001359","HomeImp","Office","0.6089515829","           0","           0","85.884371895","           0","          14","32.059783267"
"           1","        3000","        7000","       20300","HomeImp","Other","           3","           0","           0","        50.8","           5","           9","           ."
"           1"," 1291.336409","           .","7131.4311612","HomeImp","Other","           2","           0","           1","77.766666667","           0","           3","           ."
"           1","2367.5906371","           .","       33000","HomeImp","Other","           1","           0","           1","        23.3","           1","           2","           ."
"           1","        3000","      119826","157559.32988","HomeImp","Other","3.5785337666","           0","           0","130.03335846","           0","          27","           ."
"           0","        3000","       20000","       29750","DebtCon","Other","           2","           0","           0","187.06666667","           0","          12","           ."
"           1","        3000","           .","       14500","HomeImp","Other","1.5494905848","           0","           0","         9.3","          14","           2","           ."
"           1","        3000","           .","       14100","HomeImp","Other","           1","           0","           0","       104.2","           0","          19","           ."
"           1","        3000","       47000","       82700","HomeImp","ProfExe","          10","           0","           1","262.16666667","           5","          26","           ."
"           1","884.31391068","       34542","       45900","HomeImp","Mgr","         8.5","           0","           2","62.366666667","           0","          10","           ."
"           0","        3000","       58000","12118.095598","HomeImp","Mgr","          10","           .","           2","211.93333333","           0","          25","           ."
"           0","727.43289393","       47000","24714.622712","HomeImp","Office","6.1893848177","           0","           0","201.86666667","           0","          20","           ."
"           1","2619.6710755","10893.590222","       36100","HomeImp","Other","0.4637394284","           0","           0","153.16666667","           1","          14","           ."
"           0","        3100","           .","53926.518522","","","           .","           .","           .","           .","           .","           .","           ."
"           0","522.69983018","64550.026695","       74566","HomeImp","Mgr","          10","           .","           1","206.42660206","           0","          25","40.115677278"
"           1","        3200","       48603","       61000","HomeImp","ProfExe","          28","           0","           4","122.03333333","           1","          25","           ."
"           1","2631.8835241","       27200","       40834","HomeImp","Other","           .","           0","           0","298.13156403","           0","           7","35.553538789"
"           1","        3200","       54000","       64850","HomeImp","Other","0.6542266121","           0","           0","121.86666667","           3","          21","           ."
"           0","        3200","       74864","       87266","HomeImp","ProfExe","3.8037100904","           0","           0","250.63126922","           0","          12","42.909997351"
"           1","        3200","       23159","           .","HomeImp","Mgr","          20","           .","           2","117.80574784","           0","           9","0.5244992154"
"           1","2099.2611714","      126541","107616.57002","HomeImp","Sales","           9","           1","           0","         139","           0","          36","           ."
"           0","        3300","      130518"," 108927.8097","DebtCon","Other","           9","           0","           6","192.28914897","           0","          33"," 35.73055919"
"           1","        3400","       37000","       52000","HomeImp","Office","           2","           0","           1","183.29991561","           0","           6","           ."
"           1","        3500","7645.0062761","       38666","HomeImp","Other","2.8168618296","           0","           0","162.36666667","           0","          14","           ."
"           1","        3500","       19400","       20494","HomeImp","Other","           5","           0","           0","95.933333333","           0","           9","           ."
"           1","1942.9871302","39990.795001","       61800","HomeImp","ProfExe","          10","           .","           .","           .","           .","           .","           ."
"           1","        3600","35993.341951","10719.900362","HomeImp","Mgr","           3","           0","           0","72.033333333","           2","           4","           ."
"           0","        3600","15196.969867","      111800","HomeImp","ProfExe","           6","           0","           0","192.73333333","           1","          28","           ."
"           0","        3600","       61327","40927.941705","HomeImp","Mgr","           9","           .","           2","202.51077515","           0","          25","41.516389699"
"           0"," 2330.681497","86847.230458","      114743","HomeImp","Office","           6","           0","           0","88.470452135","           0","          14","29.393543382"
"           1","1773.4973517","39763.551074","       61000","DebtCon","Office","          13","           1","           4","        97.4","           0","          17","           ."
"           0","        3600","       52337","       63989","HomeImp","Office","          20","           0","           0","204.27249884","           0","          20","20.470915508"
"           1","        3700","       17857","       21144","HomeImp","Other","2.4048077815","           0","           0","129.71732313","           1","           9","26.634347518"
"           1","383.79449089","       19135","       97692","HomeImp","Mgr","1.0416089808","           1","           6","252.63333333","           1","          25","           ."
"           0","3467.1968083","       51180","       63459","HomeImp","Office","          20","           0","           0","203.75153358","           0","          20","20.067042051"
"           0","434.65345531","           .","       73189","","","           .","           .","           .","           .","           .","           .","22.253949156"
"           0","        3800","       11543","33051.141828","HomeImp","Self","           .","           0","           0","204.64799167","           0","          11","42.173165882"
"           1","2553.6985829","       29896","       45960","HomeImp","Other","          11","           0","           0","146.12324219","           0","          14","24.478881191"
"           1","        3900","       14500","6052.1195399","HomeImp","Other","         3.5","           0","           1","       150.3","           5","           8","           ."
"           0","3432.8311497","       52825","10561.112954","DebtCon","ProfExe","           8","           0","           4","171.66666667","           1","          31","           ."
"           0","1321.5907218","99660.574012","99825.598305","HomeImp","Office","1.1997434558","           0","           0","85.277365579","           0","          13","29.343921089"
"           0","3576.4215024","       21200","20624.258238","DebtCon","Mgr","           4","           0","           1","86.566666667","           2","          14","           ."
"           1","        4000"," 95073.27091","36726.533897","HomeImp","Office","0.5027310748","           0","           0","94.724874167","           0","          13","29.390928055"
"           0"," 1864.076835","       54543","       61777","HomeImp","Office","20.103348432","           0","           0","205.58668003","           0","          19","21.806563464"
"           0","        4000","           ."," 52347.78105","HomeImp","Other","         1.5","           0","           2","126.53333333","           3","          12","           ."
"           1"," 3509.003015","       26572","21287.267035","HomeImp","Office","          11","           0","           0","117.79510387","           0","           8","41.286491948"
"           1","2169.7638697","2606.2539623","       52012","HomeImp","ProfExe","          22","           3","           1","85.333333333","           1","           9","           ."
"           1","        4000","1303.3834041","       37200","DebtCon","Other","           6","           0","           0","92.133333333","           1","          26","           ."
"           0","        4000","23376.630891","       76725","HomeImp","Other","0.4263819346","           0","           3","136.13333333","           0","          15","           ."
"           1","        4000","       58000","4100.5993895","HomeImp","Other","2.8497346525","           0","           1","168.66666667","           0","          18","           ."
"           1","2269.2165423","3191.8959491","       18000","DebtCon","Other","           .","           0","           0","        12.2","           0","          17","           ."
"           1","        4000","23779.962831","       58350","HomeImp","Mgr","         3.5","           0","           0","         162","           3","          16","           ."
"           1","        4000","        7000","15003.275733","HomeImp","Other","7.9471856076","           0","           1","        85.8","           2","          23","           ."
"           0","3391.0419379","8334.6828745","       79050","HomeImp","Other","         1.8","           2","           0","         279","           1","           6","           ."
"           0","        4000","           .","       45760","HomeImp","","           0","           0","           0","           .","           0","           0","           ."
"           0","        4000","       62000","52488.463341","HomeImp","Other","           4","           0","           0","109.56666667","           0","          15","           ."
"           0","2368.3594458","       64240","39270.414393","HomeImp","Sales","2.1847389113","           2","           0","       160.3","           1","          23","           ."
"           1","        4000","       74000","64845.563881","HomeImp","ProfExe","0.5230630747","           1","           3","186.63333333","           .","           9","           ."
"           1","        4000","36921.127349","2590.0866723","DebtCon","Other","2.0815529386","           2","           0","       146.1","           0","          22","           ."
"           0"," 2964.192755","       67625","37652.934501","HomeImp","Mgr","2.3567076369","           .","           1","212.34930388","           0","          25","39.128717628"
"           0","1483.6144156","       67533","53498.264363","HomeImp","Mgr","          10","           .","           2","227.79298841","           0","          25","39.166328703"
"           1","        4100","           .","       19132","HomeImp","Other","           0","           0","           0","100.77465221","           0","          19","33.840919904"
"           1"," 4028.368934","       58500","       65000","HomeImp","Other","0.6805637594","           1","           2","63.933333333","           2","          15","           ."
"           0","        4100","14004.937871","       63797","DebtCon","ProfExe","           7","           0","           4","165.50503695","           1","          31"," 22.27817437"
"           0","1363.3918517","37394.690023"," 30823.63894","HomeImp","Office","          19","           0","           0","211.00259912","           1","          20","19.027704425"
"           1","2840.1990925","4412.9060144","27639.075118","HomeImp","Other","1.2546617124","           1","           0","        93.5","           1","           5","           ."
"           0","        4200","48851.651296","       77000","DebtCon","Sales","1.5643286694","           0","           0","128.83333333","           0","          31","           ."
"           0","        4200","5902.1067405","43874.606222","DebtCon","","0.5507734076","           .","           1","75.433333333","           .","          16","           ."
"           0"," 3992.429927","57190.154185","       82953","HomeImp","Other","           3","           0","           0","110.27866259","           0","          15","43.450587911"
"           0","        4200","       50216","       58541","HomeImp","Office"," 11.14989333","           0","           0","209.87130224","           0","          19"," 20.20803267"
"           0","3909.9592856","       71206","30445.662205","DebtCon","Sales","           3","           0","           0","129.93286902","           0","          31","34.181376516"
"           0","        4300","39171.796395","       79852","HomeImp","Other","0.9130310402","           0","           0","105.12070881","           0","          14","41.806376152"
"           0","        4300","       72021","66635.528946","HomeImp","Other","           2","           2","           0","263.97030029","           0","           5","36.432093937"
"           0","1925.4322614","       53969","4541.2845333","DebtCon","ProfExe","1.8070924779","           0","           3","162.39001067","           0","          30","23.581079239"
"           0","        4400","           .","       60250","","","           .","           .","           .","           .","           .","           .","           ."
"           1","        4400","       53091","       64074","DebtCon","Office","          14","           1","           3"," 89.86105825","           0","          17","39.158084834"
"           0","        4500","       66127","       79087","HomeImp","Other","2.7674128109","           1","           0","81.349065098","           0","          15"," 40.70530876"
"           0","        4500","           .","       77182","","","           .","           .","           .","           .","           .","           .","25.227252904"
"           1","3373.1401578","       39000","45365.101021","HomeImp","Other","0.2300119247","           0","           0","170.36666667","           1","          19","           ."
"           0","        4500","71067.537955","       79247","HomeImp","Other","           4","           0","           0","118.76041007","           0","          14","41.421110521"
"           0","1101.9779991","           .","4593.3260137","HomeImp","","           0","           0","           0","           .","           0","           0","11.652738796"
"           0","        4500","       57000","           .","HomeImp","Other","3.0378567674","           .","           .","       222.6","           1","          13","           ."
"           1","3824.2955158","       34184"," 1704.489461","HomeImp","Mgr","         3.5","           0","           1","       122.6","           2","          22","           ."
"           1","4409.9564831","       66517","56084.200618","DebtCon","ProfExe","7.2396930481","           0","           4","       125.8","           0","          34","           ."
"           0","3267.4081741","       45500","       50000","HomeImp","Other","           6","           0","           0","86.166666667","           0","          18","           ."
"           1","        4500","88279.061862","      146870","HomeImp","ProfExe","         4.5","           2","           0","203.86666667","           1","          20","           ."
"           1","1191.4735721","       90000","1399.5430092","HomeImp","Other","1.2897287278","           2","           3","        80.1","           3","          10","           ."
"           0","        4700","       67913","       97205","","Mgr","           2","           0","           0","142.82439151","           0","          24","35.226997192"
"           0","        4700","46574.904828","       88566","HomeImp","Other","           2","           2","           0","283.95953809","           0","           5","36.475473283"
