"LST_DATE","LST_TIME","T_MAX","P_CALC"
20161231,2000,7.3,0
20161231,2100,7.2,0
20161231,2200,6.7,0
20161231,2300,7,0
20170101,0,7.2,0
20170101,100,7.2,0
20170101,200,7.2,0
20170101,300,7.3,0
20170101,400,7.4,0
20170101,500,7.5,0
20170101,600,6.9,0
20170101,700,5.6,2.3
20170101,800,4.7,0.6
20170101,900,5.3,0.2
20170101,1000,6.5,0.2
20170101,1100,7.7,0
20170101,1200,8.7,0
20170101,1300,8.8,0.8
20170101,1400,8.9,0.8
20170101,1500,9,0.3
20170101,1600,9.1,0
20170101,1700,9.2,0.2
20170101,1800,8.6,0
20170101,1900,8.7,0
20170101,2000,9,0.5
20170101,2100,9.1,0.8
20170101,2200,9.2,0.7
20170101,2300,9.2,0.6
20170102,0,9.3,0.5
20170102,100,9.3,0.2
20170102,200,9.4,5.6
20170102,300,9.2,7.3
20170102,400,9.2,4.2
20170102,500,9.2,1.8
20170102,600,9.2,1
20170102,700,9.2,0.3
20170102,800,9.2,1.4
20170102,900,9.3,6.9
20170102,1000,9.3,2
20170102,1100,9.2,0.8
20170102,1200,8.6,0.5
20170102,1300,8.6,0
20170102,1400,8.4,0
20170102,1500,8.4,0
20170102,1600,8.6,0
20170102,1700,8.4,0
20170102,1800,8.3,0
20170102,1900,8.1,0
20170102,2000,7.9,0
20170102,2100,7.7,0
20170102,2200,7.6,0
20170102,2300,7.5,0
20170103,0,7.4,0
20170103,100,7.4,0
20170103,200,7.3,0
20170103,300,7.3,1.1
20170103,400,7.3,0
20170103,500,7.3,0.4
20170103,600,7.2,3.1
20170103,700,7.2,0
20170103,800,7.3,0
20170103,900,7.4,0
20170103,1000,7.8,0
20170103,1100,8.2,0
20170103,1200,9.1,0
20170103,1300,10,0
20170103,1400,10.3,0
20170103,1500,10.5,0
20170103,1600,10.7,0
20170103,1700,11.3,0
20170103,1800,11.5,0
20170103,1900,11.4,0
20170103,2000,11.7,0
20170103,2100,11.9,0
20170103,2200,12.1,0
20170103,2300,12.4,0
20170104,0,12.8,0
20170104,100,12.9,0
20170104,200,12.9,0
20170104,300,12.6,0
20170104,400,12.7,0
20170104,500,12.5,0
20170104,600,12.4,0
20170104,700,12.4,0
20170104,800,11.8,0
20170104,900,12.7,0
20170104,1000,13.8,0
20170104,1100,16,0
20170104,1200,16,0
20170104,1300,15.8,0
20170104,1400,15.9,0
20170104,1500,14.7,0
20170104,1600,13.4,0
20170104,1700,12.1,0
20170104,1800,10.5,0
20170104,1900,8.7,0
20170104,2000,7.6,0
20170104,2100,7.1,0
20170104,2200,6.7,0
20170104,2300,5.8,0
20170105,0,4.7,0
20170105,100,3.9,0
20170105,200,0.6,0
20170105,300,0.9,0
20170105,400,0.2,0
20170105,500,1.3,0
20170105,600,0.3,0
20170105,700,-1.8,0
20170105,800,-2,0
20170105,900,1.5,0
20170105,1000,3,0
20170105,1100,3.5,0
20170105,1200,4.5,0
20170105,1300,5,0
20170105,1400,4.8,0
20170105,1500,5,0
20170105,1600,4.7,0
20170105,1700,4.8,0
20170105,1800,4.1,0
20170105,1900,3.9,0
20170105,2000,4,0
20170105,2100,4,0
20170105,2200,4,0
20170105,2300,3.1,0
20170106,0,3,0
20170106,100,3.3,0
20170106,200,3.4,0
20170106,300,3.4,0
20170106,400,3.4,0
20170106,500,2.2,0
20170106,600,2.8,0
20170106,700,2.9,0
20170106,800,3,0
20170106,900,3.5,0
20170106,1000,3.9,0
20170106,1100,4.4,0
20170106,1200,4.3,0
20170106,1300,4.5,0
20170106,1400,4.1,0
20170106,1500,4.2,0
20170106,1600,3.7,0
20170106,1700,3.6,0.4
20170106,1800,1.5,0.5
20170106,1900,0.5,0.8
20170106,2000,-0.3,0.2
20170106,2100,-0.5,0
20170106,2200,-0.5,0.6
20170106,2300,-0.6,1.2
20170107,0,-0.7,1.9
20170107,100,-1,1.7
20170107,200,-1.2,2.5
20170107,300,-1.4,1.7
20170107,400,-1.5,1.5
20170107,500,-1.9,1.6
20170107,600,-2.6,3.1
20170107,700,-3.3,1.5
20170107,800,-3.5,0.7
20170107,900,-3.9,0.9
20170107,1000,-4.8,0.4
20170107,1100,-5.3,0.3
20170107,1200,-5.4,0.6
20170107,1300,-4.8,0.8
20170107,1400,-3.1,0
20170107,1500,-3.3,0
20170107,1600,-3.1,0
20170107,1700,-2.7,0
20170107,1800,-3.5,0
20170107,1900,-4.3,0
20170107,2000,-4.9,0
20170107,2100,-5.1,0
20170107,2200,-5.4,0
20170107,2300,-6.3,0
20170108,0,-6.9,0
20170108,100,-7.2,0
20170108,200,-7.7,0
20170108,300,-7.8,0
20170108,400,-9.1,0
20170108,500,-9.5,0
20170108,600,-9.5,0
20170108,700,-9.9,0
20170108,800,-10,0
20170108,900,-9.1,0
20170108,1000,-7.6,0
20170108,1100,-6.8,0
20170108,1200,-5.4,0
20170108,1300,-5,0
20170108,1400,-4.5,0
20170108,1500,-4,0
20170108,1600,-3.8,0
20170108,1700,-3.9,0
20170108,1800,-4.5,0
20170108,1900,-6.6,0
20170108,2000,-8.3,0
20170108,2100,-8.9,0
20170108,2200,-7.9,0
20170108,2300,-8,0
20170109,0,-8.5,0
20170109,100,-9.2,0
20170109,200,-9.6,0
20170109,300,-9.8,0
20170109,400,-10.6,0
20170109,500,-11,0
20170109,600,-12,0
20170109,700,-13,0
20170109,800,-13.4,0
20170109,900,-9.9,0
20170109,1000,-7.4,0
20170109,1100,-6.6,0
20170109,1200,-4.8,0
20170109,1300,-3.8,0
20170109,1400,-2.5,0
20170109,1500,-1.8,0
20170109,1600,-1.5,0
20170109,1700,-1.6,0
20170109,1800,-2.1,0
20170109,1900,-3.4,0
20170109,2000,-4.4,0
20170109,2100,-5.1,0
20170109,2200,-6.9,0
20170109,2300,-7.6,0
20170110,0,-7.2,0
20170110,100,-5.6,0
20170110,200,-5.4,0
20170110,300,-5.2,0
20170110,400,-4.9,0
20170110,500,-4.6,0
20170110,600,-4.9,0
20170110,700,-5.1,0
