BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,PARTIND
1,1100,25860.0,39025.0,HomeImp,Other,10.5,0.0,0.0,94.3666666666667,1.0,9.0,,1
1,1300,70053.0,68400.0,HomeImp,Other,7.0,0.0,2.0,121.833333333333,0.0,14.0,,0
1,1500,13500.0,16700.0,HomeImp,Other,4.0,0.0,0.0,149.466666666667,1.0,10.0,,1
1,1500,,,,,,,,,,,,1
0,1700,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0,93.3333333333333,0.0,14.0,,1
1,1700,30548.0,40320.0,HomeImp,Other,9.0,0.0,0.0,101.466001910589,1.0,8.0,37.1136135584459,1
1,1800,48649.0,57037.0,HomeImp,Other,5.0,3.0,2.0,77.1,1.0,17.0,,0
1,1800,28502.0,43034.0,HomeImp,Other,11.0,0.0,0.0,88.7660298789099,0.0,8.0,36.8848940929048,1
1,2000,32700.0,46740.0,HomeImp,Other,3.0,0.0,2.0,216.933333333333,1.0,12.0,,1
1,2000,,62250.0,HomeImp,Sales,16.0,0.0,0.0,115.8,0.0,13.0,,0
1,2000,22608.0,,,,18.0,,,,,,,0
1,2000,20627.0,29800.0,HomeImp,Office,11.0,0.0,1.0,122.533333333333,1.0,9.0,,0
1,2000,45000.0,55000.0,HomeImp,Other,3.0,0.0,0.0,86.0666666666667,2.0,25.0,,1
0,2000,64536.0,87400.0,,Mgr,2.5,0.0,0.0,147.133333333333,0.0,24.0,,0
1,2100,71000.0,83850.0,HomeImp,Other,8.0,0.0,1.0,123.0,0.0,16.0,,1
1,2200,24280.0,34687.0,HomeImp,Other,,0.0,1.0,300.866666666667,0.0,8.0,,1
1,2200,90957.0,102600.0,HomeImp,Mgr,7.0,2.0,6.0,122.9,1.0,22.0,,0
1,2200,23030.0,,,,19.0,,,,,,3.71131229945985,1
1,2300,28192.0,40150.0,HomeImp,Other,4.5,0.0,0.0,54.6,1.0,16.0,,0
0,2300,102370.0,120953.0,HomeImp,Office,2.0,0.0,0.0,90.9925334673386,0.0,13.0,31.5885031783155,0
1,2300,37626.0,46200.0,HomeImp,Other,3.0,0.0,1.0,122.266666666667,1.0,14.0,,1
1,2400,50000.0,73395.0,HomeImp,ProfExe,5.0,1.0,0.0,,1.0,0.0,,1
1,2400,28000.0,40800.0,HomeImp,Mgr,12.0,0.0,0.0,67.2,2.0,22.0,,1
1,2400,18000.0,,HomeImp,Mgr,22.0,,2.0,121.733333333333,0.0,10.0,,1
1,2400,,17180.0,HomeImp,Other,,0.0,0.0,14.5666666666667,3.0,4.0,,0
1,2400,34863.0,47471.0,HomeImp,Mgr,12.0,0.0,0.0,70.4910800318371,1.0,21.0,38.2636007309303,0
0,2400,98449.0,117195.0,HomeImp,Office,4.0,0.0,0.0,93.8117748545694,0.0,13.0,29.6818270451957,1
1,2500,15000.0,20200.0,HomeImp,,18.0,0.0,0.0,136.066666666667,1.0,19.0,,1
1,2500,25116.0,36350.0,HomeImp,Other,10.0,1.0,2.0,276.966666666667,0.0,9.0,,1
0,2500,7229.0,44516.0,HomeImp,Self,,0.0,0.0,208.0,0.0,12.0,,0
0,2500,71408.0,78600.0,HomeImp,ProfExe,8.0,0.0,0.0,255.733333333333,0.0,12.0,,1
1,2800,50795.0,63100.0,HomeImp,Self,26.0,2.0,15.0,145.633333333333,3.0,45.0,,1
1,2800,4000.0,60850.0,HomeImp,Other,16.0,4.0,0.0,112.633333333333,2.0,9.0,,1
1,2900,78600.0,113000.0,DebtCon,ProfExe,6.0,1.0,0.0,165.333333333333,2.0,26.0,,0
0,2900,103949.0,112505.0,HomeImp,Office,1.0,0.0,0.0,96.1023296698115,0.0,13.0,30.0511362863198,0
0,2900,104373.0,120702.0,HomeImp,Office,2.0,0.0,0.0,101.540297533419,0.0,13.0,29.9158590280245,0
1,2900,7750.0,67996.0,HomeImp,Other,16.0,3.0,0.0,122.204662761713,2.0,8.0,36.211347997762,0
1,2900,61962.0,70915.0,DebtCon,Mgr,2.0,0.0,0.0,282.80165923776,3.0,37.0,49.2063957904495,0
0,3000,104570.0,121729.0,HomeImp,Office,2.0,0.0,0.0,85.884371894994,0.0,14.0,32.0597832671831,1
1,3000,7000.0,20300.0,HomeImp,Other,3.0,0.0,0.0,50.8,5.0,9.0,,0
1,3000,,8800.0,HomeImp,Other,2.0,0.0,1.0,77.7666666666667,0.0,3.0,,1
1,3000,,33000.0,HomeImp,Other,1.0,0.0,1.0,23.3,1.0,2.0,,1
1,3000,119826.0,193500.0,HomeImp,Other,8.0,0.0,0.0,130.033358458961,0.0,27.0,,0
1,3000,20000.0,29750.0,DebtCon,Other,2.0,0.0,0.0,187.066666666667,0.0,12.0,,0
